1,-14.22,-48.01
4,-22.78,37.1
2,56.18,-42.99
3,35.04,50.29
1,-9.53,-46.26
4,-34.35,48.25
2,55.82,-57.49
3,21.03,54.64
1,-13.63,-42.26
4,-36.57,32.63
2,50.65,-52.4
3,24.48,34.04
1,-2.69,-36.02
4,-38.8,36.58
2,24.0,-53.74
3,32.41,24.96
1,-4.32,-56.92
4,-22.68,29.42
2,59.02,-39.56
3,24.47,45.07
1,5.23,-41.2
4,-23.0,38.15
2,44.55,-51.5
3,14.62,59.06
1,7.41,-56.05
4,-26.63,28.97
2,47.37,-44.72
3,29.07,51.06
1,0.59,-31.89
4,-39.09,20.78
2,42.97,-48.98
3,34.36,49.08
1,-21.91,-49.01
4,-46.68,46.04
2,48.52,-43.67
3,30.05,49.25
1,4.03,-43.56
4,-37.85,41.72
2,38.24,-48.32
3,20.83,57.85
